epoch,accuracy,loss,val_accuracy,val_loss
0,0.44811320304870605,1.4944298267364502,0.6354166865348816,1.026953935623169
1,0.7853773832321167,0.73365718126297,0.84375,0.6094853281974792
2,0.9221698045730591,0.4197271466255188,0.9166666865348816,0.383291631937027
3,0.9799528121948242,0.26048222184181213,0.9583333134651184,0.27262863516807556
4,0.9941037893295288,0.17981861531734467,0.9479166865348816,0.2700962424278259
5,0.9929245114326477,0.15092039108276367,0.96875,0.19758212566375732
6,0.9976415038108826,0.12370400875806808,1.0,0.16448548436164856
7,0.9988207817077637,0.11115454882383347,0.9895833134651184,0.16854196786880493
8,1.0,0.09333698451519012,0.9895833134651184,0.14525796473026276
9,1.0,0.0833793506026268,0.9895833134651184,0.12195811420679092
10,1.0,0.07370952516794205,0.9895833134651184,0.12050452083349228
11,1.0,0.06615100055932999,0.9791666865348816,0.11635634303092957
12,1.0,0.06102873757481575,0.9895833134651184,0.11604097485542297
13,1.0,0.05656810104846954,0.9791666865348816,0.10850682109594345
14,1.0,0.05232551321387291,0.9791666865348816,0.10795187205076218
15,1.0,0.04916204884648323,0.9791666865348816,0.10545835644006729
16,1.0,0.04685291275382042,0.9895833134651184,0.10462421178817749
17,1.0,0.04408537223935127,0.9895833134651184,0.09059891849756241
18,1.0,0.04192473739385605,0.9895833134651184,0.09417685866355896
19,1.0,0.03981717303395271,0.9895833134651184,0.09018959850072861
20,1.0,0.0378924198448658,0.9895833134651184,0.08166883885860443
21,1.0,0.03650150075554848,1.0,0.08142217993736267
22,1.0,0.03490443900227547,0.9895833134651184,0.08144015818834305
23,1.0,0.033714428544044495,1.0,0.0783594623208046
24,1.0,0.03257886320352554,0.9895833134651184,0.07304524630308151
25,1.0,0.03112589195370674,1.0,0.07277462631464005
26,1.0,0.03027164563536644,0.9895833134651184,0.07799890637397766
27,1.0,0.029482416808605194,0.9895833134651184,0.07795275747776031
28,1.0,0.02837115339934826,0.9895833134651184,0.07388003915548325
29,1.0,0.02723730355501175,1.0,0.06715061515569687
